id;ki_hoc;ngay_hoc_trong_tuan;thoi_gian_bat_dau;thoi_gian_ket_thuc;phong_hoc;ngay_thi;gio_thi;phong_thi
1;Forward triple Lithium;precious dolor;whereas Investment;disinter Stiedemann Multigender;Trans Polarised fugit;Car;system;Northeast Diesel
2;till kindhearted;hm Indium;deposit white;District pink growl;Facilitator;Sedan;alias;Cheese
3;and whether;hertz fugiat;Soft array Northeast;Fiji systems candela;Gasoline Cruiser;horror Borders Pickup;Agent mmm;Chile Harbors synergize
4;withdrawal;Diesel;navigate hybrid;North pish gasp;value behind;Northwest male;Dynamic;Generic vertical within
5;Representative Bronze;possimus;Planner;female ack Shoes;Industrial navigating Concrete;near supposing SUV;maximize male Minivan;Chrysler
6;yum;systems Metal;Hatchback Mali;woman;Drives mysteriously Bicycle;Loan;Georgia next Metrics;paradigms
7;cyan Calcium matrix;West synergistic;Hybrid Northeast ohm;even;male Car;aside;ivory ivory hertz;Human female despite
8;Gasoline;Quetzal Human;Yen;Jersey awesome Corporate;North male;Rolls defiantly;pixel Latin Southwest;Bicycle Director Fantastic
9;Chair orange;value Manager;Factors Classical Wall;flexibility Tools Southeast;Northeast;encoding;instead Dalasi incidunt;integrated
10;Fresh Slovenia loosely;Borders Palladium Consultant;Uganda;lime;azure Plastic;person Gasoline;patiently azure Cliff;Transexual vertical
